k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,num
3,8,19,0,3,0,14,2,0,0,0,0,0,1
1,1,19,0,3,2,18,1,8,1,0,0,0,0
1,1,19,0,7,0,10,1,0,0,0,0,0,3
1,1,19,0,10,0,12,2,0,1,0,0,0,1
1,2,0,0,14,0,16,1,0,1,0,0,0,6
3,7,0,0,10,2,16,2,0,1,0,0,0,3
3,6,0,1,14,4,15,3,15,1,0,0,0,3
3,10,36,0,26,0,17,3,0,1,0,0,0,0
7,20,37,0,3,2,17,4,8,0,0,0,0,0
7,18,19,0,3,6,13,4,23,1,0,0,0,3
14,27,0,0,7,4,13,4,37,0,0,0,0,2
15,41,0,1,10,2,20,5,44,1,0,0,0,0
27,59,37,2,3,8,25,7,60,0,0,0,0,0
24,46,0,1,3,27,23,13,92,1,0,4,0,1
28,51,0,4,7,23,16,19,100,1,0,0,0,0
19,43,38,3,10,49,21,20,15,0,0,0,0,0
19,36,0,3,7,22,13,17,39,1,0,0,0,2
15,29,0,2,10,27,14,15,15,0,0,0,0,1
14,29,0,1,10,16,22,17,43,1,0,0,0,4
14,23,0,4,14,31,22,14,8,0,0,4,0,8
16,28,39,4,21,40,27,15,24,0,0,7,0,12
11,17,19,4,10,20,23,12,39,1,0,4,0,6
27,56,0,3,14,16,19,11,0,0,0,0,0,7
23,65,0,2,10,25,17,11,0,0,0,0,0,8
17,39,38,3,7,16,12,9,31,0,0,0,0,10
17,33,56,4,0,10,19,9,23,1,0,0,0,10
15,32,19,10,3,11,19,9,0,1,0,0,26,15
19,36,37,8,17,13,13,8,7,1,0,4,21,26
36,79,0,16,10,15,17,8,30,1,0,0,32,12
36,72,0,9,7,27,21,8,8,1,0,0,32,13
29,47,0,4,10,13,16,8,38,1,0,7,38,11
23,46,18,4,10,18,13,8,15,1,0,14,10,18
25,44,18,6,13,21,31,11,30,1,0,4,48,25
23,30,37,5,20,28,22,12,30,0,0,0,27,19
23,33,0,6,0,35,17,12,15,0,0,0,27,9
29,42,0,8,17,28,25,13,30,1,0,11,27,14
37,57,56,8,7,38,38,14,53,0,0,7,38,18
37,67,0,10,10,38,21,13,52,1,0,7,16,19
39,64,0,11,20,34,13,13,30,1,0,7,16,36
50,78,73,15,3,43,17,17,44,0,0,10,42,32
58,80,18,27,10,100,27,21,37,1,0,24,10,56
59,84,18,30,7,80,27,25,37,1,0,17,36,44
66,87,37,23,10,60,25,28,22,1,0,11,43,33
64,91,19,27,10,58,26,30,61,1,0,33,32,28
65,81,18,27,0,62,16,26,30,1,0,4,53,59
58,64,37,12,7,30,14,23,30,1,0,25,47,53
51,55,54,22,3,29,14,20,44,0,0,31,31,56
46,55,0,15,10,35,25,22,15,0,0,21,36,34
44,51,0,20,13,41,11,23,14,1,0,27,15,63
41,43,0,20,13,23,16,26,57,1,0,13,87,31
39,42,54,21,7,48,14,23,7,1,0,21,21,17
38,42,54,15,7,22,14,23,22,0,0,14,16,45
42,55,18,10,13,23,10,20,21,1,49,20,15,41
39,51,0,19,3,39,44,21,14,1,0,56,55,40
33,42,51,15,6,38,20,23,34,0,0,36,24,54
27,39,0,19,0,32,23,22,36,1,0,24,15,39
34,48,0,17,16,25,20,21,21,1,0,20,41,48
35,44,18,12,0,37,24,20,7,1,0,27,35,39
30,40,36,13,13,22,11,22,37,1,51,14,36,72
31,38,18,15,0,15,14,24,37,1,0,14,16,96
29,33,0,19,6,23,17,21,35,1,0,17,40,93
26,34,18,20,6,15,19,21,22,1,0,17,77,123
22,31,0,16,6,15,23,20,29,3,0,10,41,202
26,37,0,12,6,18,18,19,7,3,0,10,46,173
21,30,0,10,10,18,13,18,7,3,0,14,21,93
22,30,36,6,10,17,16,17,30,2,0,7,52,241
28,37,0,10,13,16,17,16,7,3,50,0,46,268
25,37,17,16,12,14,14,18,14,2,0,3,79,279
31,38,0,13,23,9,25,27,7,4,0,10,67,357
45,49,18,15,19,20,19,24,44,4,0,34,69,369
62,63,0,26,79,21,21,24,15,3,0,21,79,359
63,63,52,21,78,28,35,27,77,2,0,33,61,244
54,63,18,20,42,18,33,26,87,3,0,24,46,368
58,62,52,19,25,14,22,25,36,2,0,20,66,527
100,100,51,34,56,23,21,27,97,3,0,62,75,578
90,81,0,26,43,26,34,32,77,2,0,36,50,644
93,88,51,43,50,17,39,42,42,2,0,66,55,720
89,85,0,47,31,43,38,51,42,2,0,43,60,507
80,74,17,50,72,26,37,46,84,8,0,56,69,303
90,78,0,32,87,60,47,48,93,4,0,61,81,480
78,85,69,34,100,42,57,46,35,4,0,46,75,549
87,77,34,62,86,50,39,44,48,6,0,74,92,576
80,70,100,43,73,48,46,47,27,8,47,58,100,560
76,72,34,55,93,68,37,44,76,6,0,39,88,588
79,64,51,59,49,54,36,45,41,5,0,98,78,376
77,45,17,44,55,50,79,45,48,9,0,55,64,346
74,43,0,37,49,35,61,44,27,6,0,42,45,390
77,41,17,58,45,42,54,41,61,4,0,57,48,441
67,33,33,57,50,45,45,38,33,8,0,56,67,435
62,31,67,50,61,29,36,39,96,9,0,91,39,441
68,27,50,59,54,59,37,40,40,10,0,48,34,382
58,22,16,84,76,46,35,40,52,19,0,52,42,220
53,21,0,65,35,39,37,38,45,19,0,40,42,174
43,25,16,39,61,36,50,39,52,10,0,15,23,282
50,36,17,44,51,29,37,39,67,9,0,54,61,223
49,30,31,52,37,37,86,68,32,17,44,36,54,201
43,25,0,45,66,24,76,100,45,15,0,30,65,266
44,27,16,52,21,25,75,59,33,14,0,53,38,300
49,29,0,56,31,35,83,48,75,13,0,48,36,203
44,26,16,45,33,50,100,40,47,11,0,47,33,176
42,17,33,35,33,51,64,35,61,13,0,19,29,120
38,16,16,49,44,28,57,47,46,13,0,22,38,104
34,12,16,62,23,26,49,88,38,24,0,24,41,96
29,17,32,56,32,31,48,44,19,37,0,37,37,88
36,13,33,40,21,39,31,35,13,26,0,9,42,114
33,15,29,51,21,21,53,29,60,44,0,14,38,69
22,11,0,35,31,23,59,28,19,100,0,12,41,45
