日,コロナ 変異 株: (日本)
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,4
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,4
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,20
2020-12-22,0
2020-12-23,8
2020-12-24,4
2020-12-25,4
2020-12-26,0
2020-12-27,4
2020-12-28,16
2020-12-29,0
2020-12-30,8
2020-12-31,4
2021-01-01,4
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,4
2021-01-09,0
2021-01-10,8
2021-01-11,8
2021-01-12,8
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,23
2021-01-19,16
2021-01-20,0
2021-01-21,4
2021-01-22,16
2021-01-23,4
2021-01-24,4
2021-01-25,8
2021-01-26,4
2021-01-27,4
2021-01-28,0
2021-01-29,8
2021-01-30,8
2021-01-31,4
2021-02-01,4
2021-02-02,0
2021-02-03,4
2021-02-04,16
2021-02-05,12
2021-02-06,12
2021-02-07,11
2021-02-08,20
2021-02-09,28
2021-02-10,20
2021-02-11,11
2021-02-12,0
2021-02-13,8
2021-02-14,4
2021-02-15,11
2021-02-16,12
2021-02-17,8
2021-02-18,8
2021-02-19,20
2021-02-20,0
2021-02-21,0
2021-02-22,4
2021-02-23,0
2021-02-24,4
2021-02-25,0
2021-02-26,0
2021-02-27,4
2021-02-28,4
2021-03-01,4
2021-03-02,8
2021-03-03,12
2021-03-04,20
2021-03-05,27
2021-03-06,8
2021-03-07,4
2021-03-08,15
2021-03-09,16
2021-03-10,56
2021-03-11,44
2021-03-12,16
2021-03-13,23
2021-03-14,15
2021-03-15,34
2021-03-16,30
2021-03-17,28
2021-03-18,28
2021-03-19,39
2021-03-20,8
2021-03-21,25
2021-03-22,16
2021-03-23,23
2021-03-24,31
2021-03-25,23
2021-03-26,31
2021-03-27,16
2021-03-28,23
2021-03-29,11
2021-03-30,31
2021-03-31,31
2021-04-01,47
2021-04-02,38
2021-04-03,28
2021-04-04,15
2021-04-05,43
2021-04-06,79
2021-04-07,100
2021-04-08,68
2021-04-09,85
2021-04-10,41
2021-04-11,35
