日,コロナ 濃厚接触者: (日本)
2020-10-12,28
2020-10-13,11
2020-10-14,9
2020-10-15,29
2020-10-16,20
2020-10-17,9
2020-10-18,6
2020-10-19,20
2020-10-20,21
2020-10-21,15
2020-10-22,14
2020-10-23,9
2020-10-24,12
2020-10-25,28
2020-10-26,11
2020-10-27,15
2020-10-28,17
2020-10-29,17
2020-10-30,15
2020-10-31,15
2020-11-01,8
2020-11-02,31
2020-11-03,14
2020-11-04,15
2020-11-05,11
2020-11-06,23
2020-11-07,17
2020-11-08,17
2020-11-09,26
2020-11-10,41
2020-11-11,26
2020-11-12,42
2020-11-13,44
2020-11-14,20
2020-11-15,20
2020-11-16,34
2020-11-17,37
2020-11-18,32
2020-11-19,51
2020-11-20,54
2020-11-21,40
2020-11-22,22
2020-11-23,40
2020-11-24,50
2020-11-25,37
2020-11-26,32
2020-11-27,47
2020-11-28,29
2020-11-29,28
2020-11-30,35
2020-12-01,44
2020-12-02,43
2020-12-03,52
2020-12-04,38
2020-12-05,32
2020-12-06,28
2020-12-07,35
2020-12-08,49
2020-12-09,60
2020-12-10,48
2020-12-11,55
2020-12-12,29
2020-12-13,28
2020-12-14,76
2020-12-15,38
2020-12-16,36
2020-12-17,29
2020-12-18,44
2020-12-19,38
2020-12-20,29
2020-12-21,61
2020-12-22,70
2020-12-23,62
2020-12-24,76
2020-12-25,27
2020-12-26,63
2020-12-27,41
2020-12-28,66
2020-12-29,46
2020-12-30,45
2020-12-31,36
2021-01-01,32
2021-01-02,23
2021-01-03,63
2021-01-04,60
2021-01-05,77
2021-01-06,100
2021-01-07,73
2021-01-08,86
2021-01-09,76
2021-01-10,44
2021-01-11,51
2021-01-12,96
2021-01-13,63
2021-01-14,94
2021-01-15,70
2021-01-16,63
2021-01-17,62
2021-01-18,97
2021-01-19,48
2021-01-20,73
2021-01-21,51
2021-01-22,67
2021-01-23,43
2021-01-24,32
2021-01-25,34
2021-01-26,41
2021-01-27,42
2021-01-28,47
2021-01-29,32
2021-01-30,22
2021-01-31,38
2021-02-01,44
2021-02-02,28
2021-02-03,26
2021-02-04,34
2021-02-05,26
2021-02-06,30
2021-02-07,41
2021-02-08,25
2021-02-09,11
2021-02-10,14
2021-02-11,14
2021-02-12,14
2021-02-13,27
2021-02-14,8
2021-02-15,19
2021-02-16,8
2021-02-17,14
2021-02-18,20
2021-02-19,6
2021-02-20,20
2021-02-21,8
2021-02-22,6
2021-02-23,8
2021-02-24,14
2021-02-25,20
2021-02-26,6
2021-02-27,11
2021-02-28,8
2021-03-01,8
2021-03-02,3
2021-03-03,11
2021-03-04,11
2021-03-05,6
2021-03-06,11
2021-03-07,14
2021-03-08,11
2021-03-09,17
2021-03-10,20
2021-03-11,9
2021-03-12,14
2021-03-13,16
2021-03-14,0
2021-03-15,21
2021-03-16,12
2021-03-17,25
2021-03-18,11
2021-03-19,14
2021-03-20,14
2021-03-21,18
2021-03-22,11
2021-03-23,14
2021-03-24,19
2021-03-25,11
2021-03-26,28
2021-03-27,23
2021-03-28,8
2021-03-29,24
2021-03-30,27
2021-03-31,19
2021-04-01,25
2021-04-02,30
2021-04-03,11
2021-04-04,26
2021-04-05,41
2021-04-06,42
2021-04-07,68
2021-04-08,46
2021-04-09,46
2021-04-10,14
2021-04-11,22
