日,コロナウイルス 症状: (日本)
2020-01-16,8
2020-01-17,1
2020-01-18,1
2020-01-19,1
2020-01-20,2
2020-01-21,7
2020-01-22,6
2020-01-23,10
2020-01-24,20
2020-01-25,18
2020-01-26,27
2020-01-27,41
2020-01-28,59
2020-01-29,46
2020-01-30,51
2020-01-31,43
2020-02-01,36
2020-02-02,29
2020-02-03,29
2020-02-04,23
2020-02-05,28
2020-02-06,17
2020-02-07,56
2020-02-08,65
2020-02-09,39
2020-02-10,33
2020-02-11,32
2020-02-12,36
2020-02-13,79
2020-02-14,72
2020-02-15,47
2020-02-16,46
2020-02-17,44
2020-02-18,30
2020-02-19,33
2020-02-20,42
2020-02-21,57
2020-02-22,67
2020-02-23,64
2020-02-24,78
2020-02-25,80
2020-02-26,84
2020-02-27,87
2020-02-28,91
2020-02-29,81
2020-03-01,64
2020-03-02,55
2020-03-03,55
2020-03-04,51
2020-03-05,43
2020-03-06,42
2020-03-07,42
2020-03-08,55
2020-03-09,51
2020-03-10,42
2020-03-11,39
2020-03-12,48
2020-03-13,44
2020-03-14,40
2020-03-15,38
2020-03-16,33
2020-03-17,34
2020-03-18,31
2020-03-19,37
2020-03-20,30
2020-03-21,30
2020-03-22,37
2020-03-23,37
2020-03-24,38
2020-03-25,49
2020-03-26,63
2020-03-27,63
2020-03-28,63
2020-03-29,62
2020-03-30,100
2020-03-31,81
2020-04-01,88
2020-04-02,85
2020-04-03,74
2020-04-04,78
2020-04-05,85
2020-04-06,77
2020-04-07,70
2020-04-08,72
2020-04-09,64
2020-04-10,45
2020-04-11,43
2020-04-12,41
2020-04-13,33
2020-04-14,31
2020-04-15,27
2020-04-16,22
2020-04-17,21
2020-04-18,25
2020-04-19,36
2020-04-20,30
2020-04-21,25
2020-04-22,27
2020-04-23,29
2020-04-24,26
2020-04-25,17
2020-04-26,16
2020-04-27,12
2020-04-28,17
2020-04-29,13
2020-04-30,15
2020-05-01,11
2020-05-02,12
2020-05-03,8
2020-05-04,9
2020-05-05,10
2020-05-06,9
2020-05-07,10
2020-05-08,7
2020-05-09,8
2020-05-10,6
2020-05-11,8
2020-05-12,7
2020-05-13,5
2020-05-14,5
2020-05-15,5
2020-05-16,5
2020-05-17,5
2020-05-18,5
2020-05-19,4
2020-05-20,3
2020-05-21,3
2020-05-22,2
2020-05-23,3
2020-05-24,5
2020-05-25,4
2020-05-26,4
2020-05-27,2
2020-05-28,4
2020-05-29,6
2020-05-30,3
2020-05-31,7
2020-06-01,3
2020-06-02,7
2020-06-03,6
2020-06-04,5
2020-06-05,5
2020-06-06,3
2020-06-07,3
2020-06-08,4
2020-06-09,3
2020-06-10,4
2020-06-11,5
2020-06-12,3
2020-06-13,3
2020-06-14,3
2020-06-15,2
2020-06-16,4
2020-06-17,4
2020-06-18,3
2020-06-19,4
2020-06-20,3
2020-06-21,5
2020-06-22,2
2020-06-23,3
2020-06-24,5
2020-06-25,5
2020-06-26,1
2020-06-27,2
2020-06-28,3
2020-06-29,4
2020-06-30,5
2020-07-01,6
2020-07-02,6
2020-07-03,6
2020-07-04,5
2020-07-05,7
2020-07-06,7
2020-07-07,4
2020-07-08,3
2020-07-09,7
2020-07-10,6
2020-07-11,6
2020-07-12,8
2020-07-13,10
2020-07-14,4
2020-07-15,4
2020-07-16,6
2020-07-17,10
2020-07-18,7
2020-07-19,5
2020-07-20,7
2020-07-21,8
2020-07-22,9
2020-07-23,7
2020-07-24,10
2020-07-25,7
2020-07-26,9
2020-07-27,7
2020-07-28,10
2020-07-29,8
2020-07-30,10
2020-07-31,6
2020-08-01,8
2020-08-02,6
2020-08-03,9
2020-08-04,6
2020-08-05,5
2020-08-06,6
2020-08-07,5
2020-08-08,7
2020-08-09,7
2020-08-10,4
2020-08-11,8
2020-08-12,5
2020-08-13,4
2020-08-14,6
2020-08-15,7
2020-08-16,6
2020-08-17,7
2020-08-18,5
2020-08-19,5
2020-08-20,3
2020-08-21,4
2020-08-22,1
2020-08-23,4
2020-08-24,2
2020-08-25,2
2020-08-26,4
2020-08-27,4
2020-08-28,1
2020-08-29,1
2020-08-30,4
2020-08-31,4
2020-09-01,3
2020-09-02,5
2020-09-03,3
2020-09-04,2
2020-09-05,2
2020-09-06,2
2020-09-07,2
2020-09-08,2
2020-09-09,2
2020-09-10,2
2020-09-11,2
2020-09-12,3
2020-09-13,2
2020-09-14,2
2020-09-15,2
2020-09-16,2
2020-09-17,1
2020-09-18,1
2020-09-19,2
2020-09-20,3
2020-09-21,3
2020-09-22,2
2020-09-23,3
2020-09-24,2
2020-09-25,3
2020-09-26,1
2020-09-27,1
2020-09-28,1
2020-09-29,2
2020-09-30,1
2020-10-01,2
2020-10-02,4
2020-10-03,2
2020-10-04,2
2020-10-05,3
2020-10-06,2
2020-10-07,1
2020-10-08,1
2020-10-09,1
2020-10-10,3
2020-10-11,1
