日,発熱 咳: (日本)
2021-04-12,18
2021-04-13,17
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,16
2021-04-18,17
2021-04-19,18
2021-04-20,18
2021-04-21,18
2021-04-22,0
2021-04-23,0
2021-04-24,35
2021-04-25,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,17
2021-05-01,17
2021-05-02,33
2021-05-03,34
2021-05-04,0
2021-05-05,0
2021-05-06,17
2021-05-07,17
2021-05-08,0
2021-05-09,0
2021-05-10,17
2021-05-11,0
2021-05-12,0
2021-05-13,0
2021-05-14,17
2021-05-15,0
2021-05-16,0
2021-05-17,16
2021-05-18,17
2021-05-19,32
2021-05-20,0
2021-05-21,0
2021-05-22,0
2021-05-23,17
2021-05-24,0
2021-05-25,0
2021-05-26,33
2021-05-27,0
2021-05-28,17
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,17
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,0
2021-06-06,33
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,17
2021-06-13,33
2021-06-14,16
2021-06-15,17
2021-06-16,0
2021-06-17,17
2021-06-18,17
2021-06-19,17
2021-06-20,0
2021-06-21,17
2021-06-22,17
2021-06-23,17
2021-06-24,0
2021-06-25,17
2021-06-26,17
2021-06-27,17
2021-06-28,0
2021-06-29,17
2021-06-30,0
2021-07-01,0
2021-07-02,0
2021-07-03,0
2021-07-04,16
2021-07-05,51
2021-07-06,0
2021-07-07,50
2021-07-08,17
2021-07-09,0
2021-07-10,17
2021-07-11,100
2021-07-12,50
2021-07-13,0
2021-07-14,33
2021-07-15,17
2021-07-16,34
2021-07-17,17
2021-07-18,0
2021-07-19,0
2021-07-20,0
2021-07-21,0
2021-07-22,34
2021-07-23,33
2021-07-24,0
2021-07-25,50
2021-07-26,49
2021-07-27,32
2021-07-28,0
2021-07-29,0
2021-07-30,17
2021-07-31,0
2021-08-01,17
2021-08-02,33
2021-08-03,16
2021-08-04,0
2021-08-05,0
2021-08-06,0
2021-08-07,33
2021-08-08,0
2021-08-09,48
2021-08-10,0
2021-08-11,32
2021-08-12,0
2021-08-13,47
2021-08-14,16
2021-08-15,16
2021-08-16,31
2021-08-17,46
2021-08-18,32
2021-08-19,32
2021-08-20,0
