日,味覚障害: (日本)
2020-10-12,16
2020-10-13,21
2020-10-14,21
2020-10-15,32
2020-10-16,16
2020-10-17,16
2020-10-18,16
2020-10-19,33
2020-10-20,17
2020-10-21,33
2020-10-22,22
2020-10-23,11
2020-10-24,16
2020-10-25,32
2020-10-26,32
2020-10-27,38
2020-10-28,16
2020-10-29,11
2020-10-30,39
2020-10-31,17
2020-11-01,27
2020-11-02,37
2020-11-03,5
2020-11-04,22
2020-11-05,11
2020-11-06,43
2020-11-07,21
2020-11-08,10
2020-11-09,27
2020-11-10,6
2020-11-11,49
2020-11-12,22
2020-11-13,38
2020-11-14,32
2020-11-15,27
2020-11-16,43
2020-11-17,37
2020-11-18,32
2020-11-19,32
2020-11-20,69
2020-11-21,64
2020-11-22,42
2020-11-23,43
2020-11-24,33
2020-11-25,33
2020-11-26,28
2020-11-27,33
2020-11-28,11
2020-11-29,37
2020-11-30,38
2020-12-01,33
2020-12-02,16
2020-12-03,54
2020-12-04,11
2020-12-05,33
2020-12-06,38
2020-12-07,43
2020-12-08,33
2020-12-09,48
2020-12-10,43
2020-12-11,33
2020-12-12,16
2020-12-13,37
2020-12-14,53
2020-12-15,49
2020-12-16,17
2020-12-17,16
2020-12-18,33
2020-12-19,45
2020-12-20,22
2020-12-21,27
2020-12-22,22
2020-12-23,33
2020-12-24,27
2020-12-25,28
2020-12-26,45
2020-12-27,56
2020-12-28,21
2020-12-29,32
2020-12-30,42
2020-12-31,31
2021-01-01,49
2021-01-02,21
2021-01-03,42
2021-01-04,52
2021-01-05,51
2021-01-06,83
2021-01-07,55
2021-01-08,42
2021-01-09,42
2021-01-10,56
2021-01-11,46
2021-01-12,100
2021-01-13,76
2021-01-14,37
2021-01-15,58
2021-01-16,36
2021-01-17,55
2021-01-18,63
2021-01-19,48
2021-01-20,58
2021-01-21,48
2021-01-22,48
2021-01-23,20
2021-01-24,50
2021-01-25,32
2021-01-26,31
2021-01-27,42
2021-01-28,41
2021-01-29,21
2021-01-30,32
2021-01-31,31
2021-02-01,42
2021-02-02,32
2021-02-03,48
2021-02-04,32
2021-02-05,21
2021-02-06,15
2021-02-07,57
2021-02-08,48
2021-02-09,21
2021-02-10,48
2021-02-11,10
2021-02-12,16
2021-02-13,26
2021-02-14,25
2021-02-15,26
2021-02-16,0
2021-02-17,21
2021-02-18,16
2021-02-19,11
2021-02-20,32
2021-02-21,21
2021-02-22,26
2021-02-23,21
2021-02-24,11
2021-02-25,21
2021-02-26,21
2021-02-27,32
2021-02-28,31
2021-03-01,16
2021-03-02,16
2021-03-03,21
2021-03-04,16
2021-03-05,10
2021-03-06,5
2021-03-07,26
2021-03-08,15
2021-03-09,5
2021-03-10,21
2021-03-11,16
2021-03-12,16
2021-03-13,15
2021-03-14,20
2021-03-15,14
2021-03-16,31
2021-03-17,32
2021-03-18,10
2021-03-19,21
2021-03-20,10
2021-03-21,20
2021-03-22,26
2021-03-23,31
2021-03-24,11
2021-03-25,26
2021-03-26,42
2021-03-27,5
2021-03-28,45
2021-03-29,30
2021-03-30,5
2021-03-31,26
2021-04-01,21
2021-04-02,10
2021-04-03,32
2021-04-04,49
2021-04-05,36
2021-04-06,32
2021-04-07,16
2021-04-08,32
2021-04-09,11
2021-04-10,11
2021-04-11,31
