日,消毒用アルコール: (日本)
2020-10-12,17
2020-10-13,33
2020-10-14,0
2020-10-15,34
2020-10-16,51
2020-10-17,34
2020-10-18,34
2020-10-19,17
2020-10-20,53
2020-10-21,17
2020-10-22,34
2020-10-23,51
2020-10-24,68
2020-10-25,17
2020-10-26,17
2020-10-27,34
2020-10-28,52
2020-10-29,51
2020-10-30,17
2020-10-31,0
2020-11-01,0
2020-11-02,17
2020-11-03,16
2020-11-04,52
2020-11-05,34
2020-11-06,34
2020-11-07,0
2020-11-08,0
2020-11-09,17
2020-11-10,34
2020-11-11,17
2020-11-12,70
2020-11-13,34
2020-11-14,34
2020-11-15,17
2020-11-16,33
2020-11-17,33
2020-11-18,50
2020-11-19,67
2020-11-20,66
2020-11-21,50
2020-11-22,33
2020-11-23,50
2020-11-24,51
2020-11-25,51
2020-11-26,35
2020-11-27,35
2020-11-28,17
2020-11-29,67
2020-11-30,17
2020-12-01,17
2020-12-02,17
2020-12-03,17
2020-12-04,0
2020-12-05,51
2020-12-06,51
2020-12-07,17
2020-12-08,17
2020-12-09,50
2020-12-10,34
2020-12-11,35
2020-12-12,51
2020-12-13,0
2020-12-14,49
2020-12-15,17
2020-12-16,0
2020-12-17,86
2020-12-18,17
2020-12-19,0
2020-12-20,51
2020-12-21,0
2020-12-22,35
2020-12-23,17
2020-12-24,52
2020-12-25,35
2020-12-26,18
2020-12-27,0
2020-12-28,34
2020-12-29,17
2020-12-30,16
2020-12-31,16
2021-01-01,0
2021-01-02,0
2021-01-03,32
2021-01-04,0
2021-01-05,32
2021-01-06,0
2021-01-07,31
2021-01-08,82
2021-01-09,0
2021-01-10,48
2021-01-11,48
2021-01-12,49
2021-01-13,17
2021-01-14,17
2021-01-15,17
2021-01-16,16
2021-01-17,16
2021-01-18,49
2021-01-19,50
2021-01-20,50
2021-01-21,0
2021-01-22,17
2021-01-23,32
2021-01-24,31
2021-01-25,50
2021-01-26,16
2021-01-27,50
2021-01-28,32
2021-01-29,84
2021-01-30,50
2021-01-31,16
2021-02-01,49
2021-02-02,0
2021-02-03,34
2021-02-04,100
2021-02-05,17
2021-02-06,0
2021-02-07,16
2021-02-08,33
2021-02-09,33
2021-02-10,33
2021-02-11,16
2021-02-12,17
2021-02-13,32
2021-02-14,16
2021-02-15,64
2021-02-16,16
2021-02-17,0
2021-02-18,51
2021-02-19,67
2021-02-20,50
2021-02-21,16
2021-02-22,81
2021-02-23,32
2021-02-24,17
2021-02-25,0
2021-02-26,0
2021-02-27,17
2021-02-28,0
2021-03-01,49
2021-03-02,49
2021-03-03,17
2021-03-04,33
2021-03-05,33
2021-03-06,33
2021-03-07,48
2021-03-08,16
2021-03-09,16
2021-03-10,0
2021-03-11,33
2021-03-12,33
2021-03-13,0
2021-03-14,16
2021-03-15,42
2021-03-16,14
2021-03-17,17
2021-03-18,16
2021-03-19,0
2021-03-20,16
2021-03-21,31
2021-03-22,48
2021-03-23,32
2021-03-24,33
2021-03-25,48
2021-03-26,0
2021-03-27,17
2021-03-28,0
2021-03-29,16
2021-03-30,16
2021-03-31,33
2021-04-01,0
2021-04-02,32
2021-04-03,33
2021-04-04,0
2021-04-05,0
2021-04-06,16
2021-04-07,67
2021-04-08,34
2021-04-09,17
2021-04-10,17
2021-04-11,16
