日,新型 コロナ ワクチン: (日本)
2021-04-12,25
2021-04-13,20
2021-04-14,28
2021-04-15,25
2021-04-16,28
2021-04-17,18
2021-04-18,16
2021-04-19,31
2021-04-20,28
2021-04-21,39
2021-04-22,43
2021-04-23,31
2021-04-24,26
2021-04-25,27
2021-04-26,42
2021-04-27,42
2021-04-28,63
2021-04-29,29
2021-04-30,42
2021-05-01,33
2021-05-02,25
2021-05-03,29
2021-05-04,17
2021-05-05,46
2021-05-06,64
2021-05-07,51
2021-05-08,39
2021-05-09,34
2021-05-10,82
2021-05-11,78
2021-05-12,68
2021-05-13,73
2021-05-14,48
2021-05-15,32
2021-05-16,56
2021-05-17,100
2021-05-18,72
2021-05-19,75
2021-05-20,58
2021-05-21,52
2021-05-22,39
2021-05-23,48
2021-05-24,89
2021-05-25,78
2021-05-26,42
2021-05-27,37
2021-05-28,45
2021-05-29,30
2021-05-30,37
2021-05-31,62
2021-06-01,59
2021-06-02,55
2021-06-03,53
2021-06-04,46
2021-06-05,32
2021-06-06,31
2021-06-07,62
2021-06-08,40
2021-06-09,45
2021-06-10,56
2021-06-11,30
2021-06-12,35
2021-06-13,33
2021-06-14,51
2021-06-15,54
2021-06-16,45
2021-06-17,62
2021-06-18,54
2021-06-19,38
2021-06-20,44
2021-06-21,59
2021-06-22,65
2021-06-23,65
2021-06-24,71
2021-06-25,55
2021-06-26,28
2021-06-27,45
2021-06-28,50
2021-06-29,60
2021-06-30,56
2021-07-01,54
2021-07-02,44
2021-07-03,40
2021-07-04,42
2021-07-05,55
2021-07-06,56
2021-07-07,55
2021-07-08,51
2021-07-09,56
2021-07-10,32
2021-07-11,39
2021-07-12,51
2021-07-13,41
2021-07-14,34
2021-07-15,38
2021-07-16,44
2021-07-17,30
2021-07-18,40
2021-07-19,49
2021-07-20,40
2021-07-21,42
2021-07-22,38
2021-07-23,21
2021-07-24,35
2021-07-25,44
2021-07-26,46
2021-07-27,47
2021-07-28,45
2021-07-29,40
2021-07-30,42
2021-07-31,40
2021-08-01,43
2021-08-02,38
2021-08-03,43
2021-08-04,45
2021-08-05,40
2021-08-06,44
2021-08-07,28
2021-08-08,27
2021-08-09,29
2021-08-10,30
2021-08-11,38
2021-08-12,48
2021-08-13,32
2021-08-14,34
2021-08-15,29
2021-08-16,49
2021-08-17,46
2021-08-18,57
2021-08-19,52
2021-08-20,45
