日,特別定額給付金: (日本)
2020-01-16,0
2020-01-17,2
2020-01-18,0
2020-01-19,1
2020-01-20,0
2020-01-21,3
2020-01-22,2
2020-01-23,1
2020-01-24,0
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,0
2020-01-31,1
2020-02-01,1
2020-02-02,0
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,1
2020-02-18,0
2020-02-19,0
2020-02-20,2
2020-02-21,0
2020-02-22,1
2020-02-23,1
2020-02-24,0
2020-02-25,5
2020-02-26,5
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,1
2020-03-02,1
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,0
2020-03-08,1
2020-03-09,2
2020-03-10,0
2020-03-11,1
2020-03-12,9
2020-03-13,14
2020-03-14,9
2020-03-15,6
2020-03-16,6
2020-03-17,3
2020-03-18,38
2020-03-19,29
2020-03-20,30
2020-03-21,21
2020-03-22,27
2020-03-23,27
2020-03-24,36
2020-03-25,37
2020-03-26,30
2020-03-27,26
2020-03-28,23
2020-03-29,14
2020-03-30,26
2020-03-31,24
2020-04-01,20
2020-04-02,20
2020-04-03,87
2020-04-04,43
2020-04-05,46
2020-04-06,58
2020-04-07,70
2020-04-08,63
2020-04-09,62
2020-04-10,100
2020-04-11,51
2020-04-12,51
