日,コロナウイルス 症状: (日本)
2020-01-16,12
2020-01-17,1
2020-01-18,1
2020-01-19,1
2020-01-20,2
2020-01-21,6
2020-01-22,7
2020-01-23,11
2020-01-24,18
2020-01-25,18
2020-01-26,27
2020-01-27,37
2020-01-28,60
2020-01-29,51
2020-01-30,53
2020-01-31,42
2020-02-01,28
2020-02-02,32
2020-02-03,27
2020-02-04,25
2020-02-05,21
2020-02-06,18
2020-02-07,60
2020-02-08,60
2020-02-09,39
2020-02-10,35
2020-02-11,35
2020-02-12,34
2020-02-13,76
2020-02-14,82
2020-02-15,49
2020-02-16,44
2020-02-17,48
2020-02-18,36
2020-02-19,34
2020-02-20,42
2020-02-21,57
2020-02-22,73
2020-02-23,51
2020-02-24,85
2020-02-25,79
2020-02-26,88
2020-02-27,86
2020-02-28,90
2020-02-29,74
2020-03-01,63
2020-03-02,61
2020-03-03,50
2020-03-04,51
2020-03-05,44
2020-03-06,42
2020-03-07,50
2020-03-08,59
2020-03-09,55
2020-03-10,43
2020-03-11,39
2020-03-12,41
2020-03-13,45
2020-03-14,45
2020-03-15,37
2020-03-16,32
2020-03-17,32
2020-03-18,35
2020-03-19,35
2020-03-20,34
2020-03-21,26
2020-03-22,32
2020-03-23,39
2020-03-24,35
2020-03-25,57
2020-03-26,72
2020-03-27,72
2020-03-28,67
2020-03-29,63
2020-03-30,100
2020-03-31,95
2020-04-01,86
2020-04-02,80
2020-04-03,74
2020-04-04,85
2020-04-05,86
2020-04-06,82
2020-04-07,73
2020-04-08,74
2020-04-09,60
2020-04-10,46
2020-04-11,49
2020-04-12,38
