日,発熱 咳: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,26
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,50
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,25
2020-01-28,51
2020-01-29,0
2020-01-30,0
2020-01-31,53
2020-02-01,0
2020-02-02,51
2020-02-03,24
2020-02-04,52
2020-02-05,53
2020-02-06,26
2020-02-07,26
2020-02-08,0
2020-02-09,26
2020-02-10,52
2020-02-11,0
2020-02-12,25
2020-02-13,51
2020-02-14,0
2020-02-15,51
2020-02-16,0
2020-02-17,25
2020-02-18,26
2020-02-19,51
2020-02-20,0
2020-02-21,26
2020-02-22,25
2020-02-23,50
2020-02-24,25
2020-02-25,25
2020-02-26,0
2020-02-27,25
2020-02-28,26
2020-02-29,25
2020-03-01,25
2020-03-02,99
2020-03-03,0
2020-03-04,24
2020-03-05,73
2020-03-06,98
2020-03-07,100
2020-03-08,24
2020-03-09,23
2020-03-10,46
2020-03-11,24
2020-03-12,24
2020-03-13,24
2020-03-14,25
2020-03-15,50
2020-03-16,24
2020-03-17,0
2020-03-18,24
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,25
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,25
2020-03-29,97
2020-03-30,46
2020-03-31,94
2020-04-01,47
2020-04-02,95
2020-04-03,0
2020-04-04,0
2020-04-05,47
2020-04-06,69
2020-04-07,46
2020-04-08,0
2020-04-09,69
2020-04-10,0
2020-04-11,23
2020-04-12,45
