日,PCR検査: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,1
2020-01-21,1
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,1
2020-01-29,1
2020-01-30,8
2020-01-31,5
2020-02-01,1
2020-02-02,4
2020-02-03,1
2020-02-04,0
2020-02-05,6
2020-02-06,1
2020-02-07,3
2020-02-08,1
2020-02-09,1
2020-02-10,3
2020-02-11,8
2020-02-12,5
2020-02-13,24
2020-02-14,16
2020-02-15,7
2020-02-16,9
2020-02-17,10
2020-02-18,7
2020-02-19,10
2020-02-20,21
2020-02-21,19
2020-02-22,11
2020-02-23,20
2020-02-24,20
2020-02-25,52
2020-02-26,51
2020-02-27,40
2020-02-28,39
2020-02-29,46
2020-03-01,24
2020-03-02,36
2020-03-03,18
2020-03-04,16
2020-03-05,33
2020-03-06,24
2020-03-07,38
2020-03-08,27
2020-03-09,29
2020-03-10,23
2020-03-11,39
2020-03-12,30
2020-03-13,20
2020-03-14,14
2020-03-15,34
2020-03-16,41
2020-03-17,32
2020-03-18,39
2020-03-19,24
2020-03-20,15
2020-03-21,17
2020-03-22,23
2020-03-23,27
2020-03-24,23
2020-03-25,33
2020-03-26,39
2020-03-27,43
2020-03-28,28
2020-03-29,26
2020-03-30,55
2020-03-31,44
2020-04-01,54
2020-04-02,71
2020-04-03,71
2020-04-04,62
2020-04-05,66
2020-04-06,97
2020-04-07,78
2020-04-08,100
2020-04-09,94
2020-04-10,75
2020-04-11,94
2020-04-12,79
