日,味覚障害: (日本)
2020-01-16,11
2020-01-17,14
2020-01-18,4
2020-01-19,14
2020-01-20,14
2020-01-21,4
2020-01-22,7
2020-01-23,28
2020-01-24,14
2020-01-25,11
2020-01-26,3
2020-01-27,17
2020-01-28,7
2020-01-29,18
2020-01-30,4
2020-01-31,11
2020-02-01,7
2020-02-02,14
2020-02-03,7
2020-02-04,4
2020-02-05,11
2020-02-06,32
2020-02-07,11
2020-02-08,14
2020-02-09,25
2020-02-10,7
2020-02-11,0
2020-02-12,10
2020-02-13,10
2020-02-14,7
2020-02-15,14
2020-02-16,17
2020-02-17,21
2020-02-18,21
2020-02-19,7
2020-02-20,14
2020-02-21,7
2020-02-22,7
2020-02-23,10
2020-02-24,7
2020-02-25,14
2020-02-26,10
2020-02-27,14
2020-02-28,4
2020-02-29,3
2020-03-01,3
2020-03-02,14
2020-03-03,7
2020-03-04,23
2020-03-05,10
2020-03-06,17
2020-03-07,10
2020-03-08,7
2020-03-09,13
2020-03-10,9
2020-03-11,3
2020-03-12,20
2020-03-13,10
2020-03-14,17
2020-03-15,10
2020-03-16,16
2020-03-17,3
2020-03-18,3
2020-03-19,10
2020-03-20,14
2020-03-21,14
2020-03-22,27
2020-03-23,6
2020-03-24,24
2020-03-25,17
2020-03-26,82
2020-03-27,69
2020-03-28,50
2020-03-29,43
2020-03-30,41
2020-03-31,32
2020-04-01,32
2020-04-02,52
2020-04-03,83
2020-04-04,82
2020-04-05,71
2020-04-06,100
2020-04-07,53
2020-04-08,89
2020-04-09,79
2020-04-10,54
2020-04-11,31
2020-04-12,43
