日,消毒用アルコール: (日本)
2020-01-16,1
2020-01-17,1
2020-01-18,2
2020-01-19,0
2020-01-20,2
2020-01-21,5
2020-01-22,4
2020-01-23,4
2020-01-24,3
2020-01-25,6
2020-01-26,6
2020-01-27,7
2020-01-28,15
2020-01-29,17
2020-01-30,42
2020-01-31,53
2020-02-01,30
2020-02-02,28
2020-02-03,30
2020-02-04,34
2020-02-05,31
2020-02-06,38
2020-02-07,27
2020-02-08,25
2020-02-09,21
2020-02-10,25
2020-02-11,23
2020-02-12,18
2020-02-13,22
2020-02-14,25
2020-02-15,32
2020-02-16,30
2020-02-17,43
2020-02-18,44
2020-02-19,44
2020-02-20,52
2020-02-21,43
2020-02-22,56
2020-02-23,35
2020-02-24,56
2020-02-25,86
2020-02-26,88
2020-02-27,100
2020-02-28,86
2020-02-29,59
2020-03-01,52
2020-03-02,56
2020-03-03,56
2020-03-04,54
2020-03-05,52
2020-03-06,40
2020-03-07,45
2020-03-08,35
2020-03-09,40
2020-03-10,43
2020-03-11,50
2020-03-12,39
2020-03-13,38
2020-03-14,39
2020-03-15,33
2020-03-16,44
2020-03-17,36
2020-03-18,31
2020-03-19,16
2020-03-20,18
2020-03-21,22
2020-03-22,17
2020-03-23,29
2020-03-24,33
2020-03-25,36
2020-03-26,28
2020-03-27,30
2020-03-28,33
2020-03-29,27
2020-03-30,33
2020-03-31,28
2020-04-01,33
2020-04-02,42
2020-04-03,48
2020-04-04,60
2020-04-05,50
2020-04-06,67
2020-04-07,81
2020-04-08,81
2020-04-09,77
2020-04-10,61
2020-04-11,52
2020-04-12,42
